"classId:ID(Class)","name","member_count:int",":LABEL"
"cls_0001","Glécaprévir + pibrentasvir","2","Class"
"cls_0002","IMAO irréversibles","2","Class"
"cls_0003","IMAO-A réversibles, y compris oxazolidinones et bleu de méthylène","4","Class"
"cls_0004","IMAO-B","3","Class"
"cls_0005","adrénaline (voie bucco-dentaire ou sous-cutanée)","1","Class"
"cls_0006","alcalinisants urinaires","3","Class"
"cls_0007","alcaloïdes de l'ergot de seigle dopaminergiques","3","Class"
"cls_0008","alcaloïdes de l'ergot de seigle vasoconstricteurs","3","Class"
"cls_0009","alcool (boisson ou excipient)","1","Class"
"cls_0010","alphabloquants à visée urologique","6","Class"
"cls_0011","aluminium (sels)","5","Class"
"cls_0012","aminosides","6","Class"
"cls_0013","analgésiques morphiniques agonistes","12","Class"
"cls_0014","analgésiques morphiniques de palier II","4","Class"
"cls_0015","analgésiques morphiniques de palier III","8","Class"
"cls_0016","analogues de la somatostatine","3","Class"
"cls_0017","androgènes","3","Class"
"cls_0018","anesthésiques volatils halogénés","5","Class"
"cls_0019","antabuse (réaction)","12","Class"
"cls_0020","antagonistes des canaux calciques","13","Class"
"cls_0021","antagonistes des récepteurs de l'angiotensine II","8","Class"
"cls_0022","anti-TNF alpha","5","Class"
"cls_0023","anti-inflammatoires non stéroïdiens","25","Class"
"cls_0024","antiagrégants plaquettaires","16","Class"
"cls_0025","antiarythmiques","13","Class"
"cls_0026","antiarythmiques classe Ia","3","Class"
"cls_0027","anticholinestérasiques","6","Class"
"cls_0028","anticoagulants oraux","8","Class"
"cls_0029","anticonvulsivants métabolisés","15","Class"
"cls_0030","anticorps monoclonaux (hors anti-TNF alpha)","38","Class"
"cls_0031","antidépresseurs imipraminiques","8","Class"
"cls_0032","antihypertenseurs alpha-bloquants","3","Class"
"cls_0033","antihypertenseurs centraux","5","Class"
"cls_0034","antihypertenseurs sauf alpha-bloquants","70","Class"
"cls_0035","antiparasitaires susceptibles de donner des torsades de pointes","5","Class"
"cls_0036","antiparkinsoniens anticholinergiques","3","Class"
"cls_0037","antiparkinsoniens dopaminergiques","12","Class"
"cls_0038","antipurines","2","Class"
"cls_0039","antiseptiques mercuriels","2","Class"
"cls_0040","antispasmodiques urinaires","5","Class"
"cls_0041","antisécrétoires antihistaminiques H2","4","Class"
