interaction_id,severity,risk,management,compound,voir_aussi
INT_00000,Association DECONSEILLEE,Majoration de l’immunodépression.,,,
INT_00001,Association DECONSEILLEE,"Risque de maladie vaccinale généralisée, éventuellement mortelle.",ainsi que pendant les 3 mois suivant l'arrêt du traitement.,,
INT_00002,Association DECONSEILLEE,"Diminution notable des concentrations plasmatiques de l’abiratérone, avec risque de moindre efficacité.",,,médicaments à l'origine d'un hypogonadisme masculin
INT_00003,Association DECONSEILLEE,"Diminution notable des concentrations plasmatiques de l’abiratérone, avec risque de moindre efficacité.",,,médicaments à l'origine d'un hypogonadisme masculin
INT_00004,Précaution d'emploi,"Chez l'insuffisant cardiaque, risque d'augmentation des effets indésirables du métoprolol, par diminution de son métabolisme hépatique par l'abiratérone.","Surveillance clinique. Si besoin, adaptation de la posologie du métoprolol pendant le traitement par l'abiratérone.",,médicaments à l'origine d'un hypogonadisme masculin
INT_00005,Précaution d'emploi,"Risque d'augmentation des effets indésirables de la propafénone, par diminution de son métabolisme hépatique par l'abiratérone.","Surveillance clinique. Si besoin, adaptation de la posologie de la propafénone pendant le traitement par l'abiratérone.",,médicaments à l'origine d'un hypogonadisme masculin
INT_00006,Précaution d'emploi,Risque de majoration des effets indésirables de l’abrocitinib par diminution de son métabolisme.,Réduire la posologie de l’abrocitinib de moitié en cas de traitement par le fluconazole.,,
INT_00007,Précaution d'emploi,Risque de majoration des effets indésirables de l’abrocitinib par diminution de son métabolisme.,Réduire la posologie de l’abrocitinib de moitié en cas de traitement par la fluvoxamine.,,
INT_00008,Association DECONSEILLEE,"Majoration des effets indésirables, et notamment de l'acidose métabolique, de l'acide acétylsalicylique à doses élevées et de l'acétazolamide, par diminution de l'élimination de l'acide acétylsalicylique par l'acétazolamide.",,,alcalinisants urinaires
INT_00009,Précaution d'emploi,Augmentation des concentrations plasmatiques de carbamazépine avec signes de surdosage.,"Surveillance clinique et, si besoin, contrôle des concentrations plasmatiques de carbamazépine et réduction éventuelle de sa posologie.",,alcalinisants urinaires
INT_00010,Précaution d'emploi,Diminution de la lithémie avec risque de baisse de l’efficacité thérapeutique.,Surveillance stricte de la lithémie et adaptation éventuelle de la posologie du lithium.,,alcalinisants urinaires
