"substanceId:ID(Substance)","name","has_own_interactions:boolean",":LABEL"
"sub_0001","abatacept","true","Substance"
"sub_0002","abciximab (c 7e3b fab)","false","Substance"
"sub_0003","abémaciclib","false","Substance"
"sub_0004","abiraterone","true","Substance"
"sub_0005","abrocitinib","true","Substance"
"sub_0006","acalabrutinib","false","Substance"
"sub_0007","acebutolol","false","Substance"
"sub_0008","aceclofenac","false","Substance"
"sub_0009","acenocoumarol","false","Substance"
"sub_0010","acetazolamide","true","Substance"
"sub_0011","acetylsulfafurazol","false","Substance"
"sub_0012","aciclovir","false","Substance"
"sub_0013","acide acetohydroxamique","true","Substance"
"sub_0014","acide acetylsalicylique","true","Substance"
"sub_0015","acide alendronique","false","Substance"
"sub_0016","acide amidotrizoïque","false","Substance"
"sub_0017","acide ascorbique","true","Substance"
"sub_0018","acide cholique","true","Substance"
"sub_0019","acide clodronique","true","Substance"
"sub_0020","acide etidronique","false","Substance"
"sub_0021","acide folinique","true","Substance"
"sub_0022","acide folique","false","Substance"
"sub_0023","acide fusidique","true","Substance"
"sub_0024","acide ibandronique","false","Substance"
"sub_0025","acide ioxaglique","false","Substance"
"sub_0026","acide ioxitalamique","false","Substance"
"sub_0027","acide mefenamique","false","Substance"
"sub_0028","acide nicotinique","true","Substance"
"sub_0029","acide niflumique","false","Substance"
"sub_0030","acide oxidronique","false","Substance"
"sub_0031","acide pamidronique","false","Substance"
"sub_0032","acide risedronique","false","Substance"
"sub_0033","acide tiaprofenique","false","Substance"
"sub_0034","acide tiludronique","false","Substance"
"sub_0035","acide ursodesoxycholique","true","Substance"
"sub_0036","acide valproique","false","Substance"
"sub_0037","acide zoledronique","false","Substance"
"sub_0038","acitretine","true","Substance"
"sub_0039","adalimumab","false","Substance"
"sub_0040","adefovir","false","Substance"
"sub_0041","adrenaline","false","Substance"
"sub_0042","afatinib","true","Substance"
"sub_0043","agomelatine","true","Substance"
"sub_0044","albendazole","true","Substance"
"sub_0045","aldesleukine","true","Substance"
"sub_0046","alemtuzumab","false","Substance"
"sub_0047","alfacalcidol","false","Substance"
"sub_0048","alfentanil","true","Substance"
"sub_0049","alfuzosine","true","Substance"
"sub_0050","alimemazine","false","Substance"
"sub_0051","alitretinoine","false","Substance"
"sub_0052","alizapride","false","Substance"
"sub_0053","allopurinol","true","Substance"
"sub_0054","alminoprofene","false","Substance"
"sub_0055","almotriptan","false","Substance"
"sub_0056","alprazolam","true","Substance"
"sub_0057","alteplase recombinante","false","Substance"
"sub_0058","altizide","false","Substance"
"sub_0059","altretamine","false","Substance"
"sub_0060","amantadine","false","Substance"
"sub_0061","ambenonium","false","Substance"
"sub_0062","ambrisentan","true","Substance"
"sub_0063","amifostine","false","Substance"
"sub_0064","amikacine","false","Substance"
"sub_0065","amiloride","false","Substance"
"sub_0066","aminophylline","false","Substance"
"sub_0067","amiodarone","true","Substance"
"sub_0068","amisulpride","false","Substance"
"sub_0069","amitriptyline","false","Substance"
"sub_0070","amivantamab","false","Substance"
"sub_0071","amlodipine","true","Substance"
"sub_0072","amoxapine","false","Substance"
"sub_0073","amoxicilline","false","Substance"
"sub_0074","amphotericine b","true","Substance"
"sub_0075","ampicilline","false","Substance"
"sub_0076","amsacrine","false","Substance"
"sub_0077","anagrelide","true","Substance"
"sub_0078","anakinra","true","Substance"
"sub_0079","androstanolone","false","Substance"
"sub_0080","anifrolumab","false","Substance"
"sub_0081","apalutamide","true","Substance"
"sub_0082","apixaban","true","Substance"
"sub_0083","apomorphine","true","Substance"
"sub_0084","aprémilast","true","Substance"
"sub_0085","aprepitant","true","Substance"
"sub_0086","argatroban","false","Substance"
"sub_0087","argipressine","false","Substance"
"sub_0088","aripiprazole","true","Substance"
"sub_0089","arsenieux","true","Substance"
"sub_0090","asenapine","false","Substance"
"sub_0091","asparaginase","false","Substance"
"sub_0092","ataluren","true","Substance"
"sub_0093","atazanavir","true","Substance"
"sub_0094","atenolol","false","Substance"
"sub_0095","atezolizumab","false","Substance"
"sub_0096","atorvastatine","true","Substance"
"sub_0097","atovaquone","true","Substance"
"sub_0098","atracurium","false","Substance"
"sub_0099","atropine","false","Substance"
"sub_0100","avanafil","true","Substance"
"sub_0101","avizafone","false","Substance"
"sub_0102","axitinib","false","Substance"
"sub_0103","azacitidine","false","Substance"
"sub_0104","azathioprine","false","Substance"
"sub_0105","azelastine","false","Substance"
"sub_0106","azilsartan","false","Substance"
"sub_0107","azithromycine","true","Substance"
"sub_0108","aztreonam","true","Substance"
"sub_0109","baclofene","true","Substance"
"sub_0110","bambuterol","false","Substance"
"sub_0111","bazédoxifène","true","Substance"
"sub_0112","bcg","false","Substance"
"sub_0113","bédaquiline","true","Substance"
"sub_0114","bélatacept","true","Substance"
"sub_0115","bélimumab","false","Substance"
"sub_0116","benazepril","false","Substance"
"sub_0117","bendamustine","false","Substance"
"sub_0118","bendroflumethiazide","false","Substance"
"sub_0119","benethamine-penicilline","false","Substance"
"sub_0120","benzalkonium","false","Substance"
"sub_0121","benzocaïne","false","Substance"
"sub_0122","benzylpenicilline","false","Substance"
"sub_0123","betamethasone","false","Substance"
"sub_0124","betaxolol","false","Substance"
"sub_0125","bezafibrate","false","Substance"
"sub_0126","bicalutamide","false","Substance"
"sub_0127","bictégravir","true","Substance"
