":START_ID(Substance)",":END_ID(Class)",":TYPE"
"sub_0002","cls_0024","BELONGS_TO"
"sub_0003","cls_0105","BELONGS_TO"
"sub_0003","cls_0155","BELONGS_TO"
"sub_0004","cls_0128","BELONGS_TO"
"sub_0006","cls_0105","BELONGS_TO"
"sub_0007","cls_0034","BELONGS_TO"
"sub_0007","cls_0049","BELONGS_TO"
"sub_0007","cls_0051","BELONGS_TO"
"sub_0007","cls_0052","BELONGS_TO"
"sub_0007","cls_0119","BELONGS_TO"
"sub_0008","cls_0023","BELONGS_TO"
"sub_0008","cls_0087","BELONGS_TO"
"sub_0009","cls_0028","BELONGS_TO"
"sub_0009","cls_0045","BELONGS_TO"
"sub_0010","cls_0006","BELONGS_TO"
"sub_0011","cls_0123","BELONGS_TO"
"sub_0012","cls_0124","BELONGS_TO"
"sub_0014","cls_0024","BELONGS_TO"
"sub_0014","cls_0154","BELONGS_TO"
"sub_0015","cls_0048","BELONGS_TO"
"sub_0015","cls_0154","BELONGS_TO"
"sub_0016","cls_0124","BELONGS_TO"
"sub_0016","cls_0143","BELONGS_TO"
"sub_0019","cls_0048","BELONGS_TO"
"sub_0019","cls_0124","BELONGS_TO"
"sub_0019","cls_0154","BELONGS_TO"
"sub_0020","cls_0048","BELONGS_TO"
"sub_0020","cls_0154","BELONGS_TO"
"sub_0021","cls_0078","BELONGS_TO"
"sub_0022","cls_0078","BELONGS_TO"
"sub_0024","cls_0048","BELONGS_TO"
"sub_0024","cls_0154","BELONGS_TO"
"sub_0025","cls_0124","BELONGS_TO"
"sub_0025","cls_0143","BELONGS_TO"
"sub_0026","cls_0124","BELONGS_TO"
"sub_0026","cls_0143","BELONGS_TO"
"sub_0027","cls_0023","BELONGS_TO"
"sub_0027","cls_0087","BELONGS_TO"
"sub_0029","cls_0023","BELONGS_TO"
"sub_0029","cls_0087","BELONGS_TO"
"sub_0030","cls_0048","BELONGS_TO"
"sub_0030","cls_0154","BELONGS_TO"
"sub_0031","cls_0048","BELONGS_TO"
"sub_0031","cls_0154","BELONGS_TO"
"sub_0032","cls_0048","BELONGS_TO"
"sub_0032","cls_0154","BELONGS_TO"
"sub_0033","cls_0023","BELONGS_TO"
"sub_0033","cls_0087","BELONGS_TO"
"sub_0034","cls_0048","BELONGS_TO"
"sub_0034","cls_0154","BELONGS_TO"
"sub_0036","cls_0029","BELONGS_TO"
"sub_0036","cls_0172","BELONGS_TO"
"sub_0037","cls_0048","BELONGS_TO"
"sub_0037","cls_0154","BELONGS_TO"
"sub_0038","cls_0151","BELONGS_TO"
"sub_0039","cls_0022","BELONGS_TO"
"sub_0040","cls_0124","BELONGS_TO"
"sub_0041","cls_0005","BELONGS_TO"
"sub_0041","cls_0160","BELONGS_TO"
"sub_0043","cls_0126","BELONGS_TO"
"sub_0046","cls_0030","BELONGS_TO"
"sub_0047","cls_0174","BELONGS_TO"
"sub_0048","cls_0013","BELONGS_TO"
"sub_0048","cls_0015","BELONGS_TO"
"sub_0048","cls_0115","BELONGS_TO"
"sub_0048","cls_0126","BELONGS_TO"
"sub_0048","cls_0155","BELONGS_TO"
"sub_0049","cls_0010","BELONGS_TO"
"sub_0049","cls_0130","BELONGS_TO"
"sub_0050","cls_0088","BELONGS_TO"
"sub_0050","cls_0120","BELONGS_TO"
"sub_0050","cls_0121","BELONGS_TO"
"sub_0050","cls_0126","BELONGS_TO"
"sub_0050","cls_0130","BELONGS_TO"
"sub_0050","cls_0133","BELONGS_TO"
"sub_0050","cls_0154","BELONGS_TO"
"sub_0051","cls_0151","BELONGS_TO"
"sub_0052","cls_0126","BELONGS_TO"
"sub_0052","cls_0130","BELONGS_TO"
"sub_0052","cls_0133","BELONGS_TO"
"sub_0052","cls_0135","BELONGS_TO"
"sub_0053","cls_0103","BELONGS_TO"
"sub_0054","cls_0023","BELONGS_TO"
"sub_0054","cls_0087","BELONGS_TO"
"sub_0055","cls_0168","BELONGS_TO"
"sub_0055","cls_0169","BELONGS_TO"
"sub_0056","cls_0047","BELONGS_TO"
"sub_0056","cls_0126","BELONGS_TO"
"sub_0057","cls_0132","BELONGS_TO"
"sub_0057","cls_0163","BELONGS_TO"
"sub_0058","cls_0034","BELONGS_TO"
"sub_0058","cls_0064","BELONGS_TO"
"sub_0058","cls_0066","BELONGS_TO"
"sub_0058","cls_0067","BELONGS_TO"
"sub_0058","cls_0089","BELONGS_TO"
"sub_0058","cls_0090","BELONGS_TO"
"sub_0058","cls_0119","BELONGS_TO"
"sub_0059","cls_0062","BELONGS_TO"
"sub_0060","cls_0037","BELONGS_TO"
"sub_0060","cls_0069","BELONGS_TO"
"sub_0060","cls_0130","BELONGS_TO"
"sub_0061","cls_0027","BELONGS_TO"
"sub_0061","cls_0049","BELONGS_TO"
"sub_0063","cls_0130","BELONGS_TO"
"sub_0064","cls_0012","BELONGS_TO"
"sub_0064","cls_0124","BELONGS_TO"
"sub_0064","cls_0125","BELONGS_TO"
"sub_0065","cls_0034","BELONGS_TO"
"sub_0065","cls_0064","BELONGS_TO"
"sub_0065","cls_0068","BELONGS_TO"
"sub_0065","cls_0087","BELONGS_TO"
"sub_0065","cls_0090","BELONGS_TO"
"sub_0065","cls_0119","BELONGS_TO"
"sub_0066","cls_0164","BELONGS_TO"
"sub_0067","cls_0025","BELONGS_TO"
"sub_0067","cls_0049","BELONGS_TO"
"sub_0067","cls_0153","BELONGS_TO"
"sub_0067","cls_0166","BELONGS_TO"
"sub_0068","cls_0126","BELONGS_TO"
"sub_0068","cls_0130","BELONGS_TO"
"sub_0068","cls_0133","BELONGS_TO"
"sub_0068","cls_0134","BELONGS_TO"
"sub_0068","cls_0136","BELONGS_TO"
"sub_0068","cls_0153","BELONGS_TO"
"sub_0069","cls_0031","BELONGS_TO"
"sub_0069","cls_0120","BELONGS_TO"
"sub_0069","cls_0121","BELONGS_TO"
"sub_0069","cls_0122","BELONGS_TO"
"sub_0069","cls_0126","BELONGS_TO"
"sub_0069","cls_0129","BELONGS_TO"
"sub_0069","cls_0130","BELONGS_TO"
"sub_0070","cls_0030","BELONGS_TO"
"sub_0071","cls_0020","BELONGS_TO"
"sub_0071","cls_0034","BELONGS_TO"
"sub_0071","cls_0063","BELONGS_TO"
"sub_0071","cls_0119","BELONGS_TO"
"sub_0072","cls_0031","BELONGS_TO"
"sub_0072","cls_0120","BELONGS_TO"
"sub_0072","cls_0121","BELONGS_TO"
"sub_0072","cls_0130","BELONGS_TO"
"sub_0073","cls_0148","BELONGS_TO"
"sub_0073","cls_0149","BELONGS_TO"
"sub_0074","cls_0089","BELONGS_TO"
"sub_0074","cls_0124","BELONGS_TO"
"sub_0075","cls_0148","BELONGS_TO"
"sub_0075","cls_0149","BELONGS_TO"
"sub_0076","cls_0062","BELONGS_TO"
"sub_0079","cls_0017","BELONGS_TO"
"sub_0080","cls_0030","BELONGS_TO"
"sub_0081","cls_0095","BELONGS_TO"
"sub_0081","cls_0096","BELONGS_TO"
"sub_0081","cls_0128","BELONGS_TO"
"sub_0082","cls_0028","BELONGS_TO"
"sub_0082","cls_0155","BELONGS_TO"
"sub_0083","cls_0037","BELONGS_TO"
"sub_0083","cls_0069","BELONGS_TO"
"sub_0083","cls_0130","BELONGS_TO"
"sub_0086","cls_0106","BELONGS_TO"
"sub_0087","cls_0090","BELONGS_TO"
"sub_0088","cls_0126","BELONGS_TO"
"sub_0088","cls_0130","BELONGS_TO"
"sub_0088","cls_0133","BELONGS_TO"
"sub_0088","cls_0134","BELONGS_TO"
"sub_0089","cls_0153","BELONGS_TO"
"sub_0090","cls_0134","BELONGS_TO"
"sub_0091","cls_0062","BELONGS_TO"
"sub_0093","cls_0104","BELONGS_TO"
"sub_0094","cls_0034","BELONGS_TO"
"sub_0094","cls_0049","BELONGS_TO"
"sub_0094","cls_0051","BELONGS_TO"
"sub_0094","cls_0052","BELONGS_TO"
"sub_0094","cls_0119","BELONGS_TO"
"sub_0094","cls_0154","BELONGS_TO"
"sub_0095","cls_0030","BELONGS_TO"
"sub_0096","cls_0098","BELONGS_TO"
"sub_0096","cls_0127","BELONGS_TO"
"sub_0096","cls_0155","BELONGS_TO"
"sub_0098","cls_0059","BELONGS_TO"
"sub_0098","cls_0060","BELONGS_TO"
"sub_0099","cls_0121","BELONGS_TO"
"sub_0100","cls_0102","BELONGS_TO"
"sub_0100","cls_0130","BELONGS_TO"
"sub_0101","cls_0047","BELONGS_TO"
"sub_0101","cls_0126","BELONGS_TO"
"sub_0102","cls_0105","BELONGS_TO"
"sub_0102","cls_0155","BELONGS_TO"
"sub_0103","cls_0062","BELONGS_TO"
"sub_0104","cls_0038","BELONGS_TO"
"sub_0104","cls_0062","BELONGS_TO"
"sub_0105","cls_0121","BELONGS_TO"
"sub_0105","cls_0126","BELONGS_TO"
"sub_0106","cls_0021","BELONGS_TO"
"sub_0106","cls_0034","BELONGS_TO"
"sub_0106","cls_0087","BELONGS_TO"
"sub_0106","cls_0119","BELONGS_TO"
"sub_0106","cls_0132","BELONGS_TO"
"sub_0107","cls_0113","BELONGS_TO"
"sub_0109","cls_0126","BELONGS_TO"
"sub_0109","cls_0130","BELONGS_TO"
"sub_0110","cls_0050","BELONGS_TO"
"sub_0112","cls_0171","BELONGS_TO"
"sub_0115","cls_0030","BELONGS_TO"
"sub_0116","cls_0034","BELONGS_TO"
"sub_0116","cls_0087","BELONGS_TO"
"sub_0116","cls_0099","BELONGS_TO"
"sub_0116","cls_0119","BELONGS_TO"
"sub_0116","cls_0132","BELONGS_TO"
"sub_0117","cls_0062","BELONGS_TO"
"sub_0118","cls_0034","BELONGS_TO"
"sub_0118","cls_0064","BELONGS_TO"
"sub_0118","cls_0066","BELONGS_TO"
"sub_0118","cls_0067","BELONGS_TO"
"sub_0118","cls_0089","BELONGS_TO"
"sub_0118","cls_0090","BELONGS_TO"
"sub_0118","cls_0119","BELONGS_TO"
"sub_0119","cls_0148","BELONGS_TO"
"sub_0120","cls_0152","BELONGS_TO"
"sub_0121","cls_0123","BELONGS_TO"
"sub_0122","cls_0148","BELONGS_TO"
"sub_0123","cls_0056","BELONGS_TO"
"sub_0123","cls_0057","BELONGS_TO"
"sub_0123","cls_0082","BELONGS_TO"
"sub_0123","cls_0083","BELONGS_TO"
"sub_0123","cls_0089","BELONGS_TO"
"sub_0123","cls_0154","BELONGS_TO"
"sub_0124","cls_0034","BELONGS_TO"
"sub_0124","cls_0049","BELONGS_TO"
"sub_0124","cls_0051","BELONGS_TO"
"sub_0124","cls_0052","BELONGS_TO"
"sub_0124","cls_0119","BELONGS_TO"
"sub_0125","cls_0075","BELONGS_TO"
"sub_0125","cls_0127","BELONGS_TO"
"sub_0126","cls_0128","BELONGS_TO"
"sub_0127","cls_0097","BELONGS_TO"
"sub_0127","cls_0154","BELONGS_TO"
"sub_0128","cls_0030","BELONGS_TO"
"sub_0129","cls_0036","BELONGS_TO"
"sub_0129","cls_0121","BELONGS_TO"
"sub_0130","cls_0089","BELONGS_TO"
"sub_0131","cls_0034","BELONGS_TO"
"sub_0131","cls_0049","BELONGS_TO"
"sub_0131","cls_0051","BELONGS_TO"
"sub_0131","cls_0052","BELONGS_TO"
"sub_0131","cls_0053","BELONGS_TO"
"sub_0131","cls_0119","BELONGS_TO"
"sub_0132","cls_0106","BELONGS_TO"
"sub_0133","cls_0062","BELONGS_TO"
"sub_0134","cls_0003","BELONGS_TO"
"sub_0134","cls_0129","BELONGS_TO"
"sub_0135","cls_0030","BELONGS_TO"
"sub_0136","cls_0089","BELONGS_TO"
"sub_0137","cls_0062","BELONGS_TO"
"sub_0137","cls_0155","BELONGS_TO"
"sub_0139","cls_0105","BELONGS_TO"
"sub_0139","cls_0155","BELONGS_TO"
"sub_0141","cls_0089","BELONGS_TO"
"sub_0142","cls_0030","BELONGS_TO"
"sub_0143","cls_0105","BELONGS_TO"
"sub_0143","cls_0155","BELONGS_TO"
"sub_0144","cls_0047","BELONGS_TO"
"sub_0144","cls_0126","BELONGS_TO"
"sub_0145","cls_0007","BELONGS_TO"
"sub_0145","cls_0037","BELONGS_TO"
"sub_0145","cls_0069","BELONGS_TO"
"sub_0145","cls_0130","BELONGS_TO"
"sub_0146","cls_0121","BELONGS_TO"
"sub_0146","cls_0126","BELONGS_TO"
"sub_0147","cls_0058","BELONGS_TO"
"sub_0147","cls_0082","BELONGS_TO"
"sub_0147","cls_0154","BELONGS_TO"
"sub_0148","cls_0034","BELONGS_TO"
"sub_0148","cls_0064","BELONGS_TO"
"sub_0148","cls_0065","BELONGS_TO"
"sub_0148","cls_0066","BELONGS_TO"
"sub_0148","cls_0089","BELONGS_TO"
"sub_0148","cls_0090","BELONGS_TO"
"sub_0148","cls_0119","BELONGS_TO"
"sub_0148","cls_0125","BELONGS_TO"
"sub_0149","cls_0115","BELONGS_TO"
"sub_0149","cls_0116","BELONGS_TO"
"sub_0149","cls_0118","BELONGS_TO"
"sub_0149","cls_0126","BELONGS_TO"
"sub_0150","cls_0120","BELONGS_TO"
"sub_0150","cls_0129","BELONGS_TO"
"sub_0150","cls_0161","BELONGS_TO"
"sub_0152","cls_0062","BELONGS_TO"
"sub_0153","cls_0062","BELONGS_TO"
"sub_0153","cls_0155","BELONGS_TO"
"sub_0154","cls_0007","BELONGS_TO"
"sub_0154","cls_0069","BELONGS_TO"
"sub_0154","cls_0070","BELONGS_TO"
"sub_0155","cls_0097","BELONGS_TO"
"sub_0156","cls_0105","BELONGS_TO"
"sub_0156","cls_0155","BELONGS_TO"
"sub_0157","cls_0161","BELONGS_TO"
"sub_0160","cls_0174","BELONGS_TO"
"sub_0162","cls_0120","BELONGS_TO"
"sub_0163","cls_0030","BELONGS_TO"
"sub_0164","cls_0021","BELONGS_TO"
"sub_0164","cls_0034","BELONGS_TO"
"sub_0164","cls_0087","BELONGS_TO"
"sub_0164","cls_0119","BELONGS_TO"
"sub_0164","cls_0132","BELONGS_TO"
"sub_0165","cls_0024","BELONGS_TO"
"sub_0167","cls_0034","BELONGS_TO"
"sub_0167","cls_0064","BELONGS_TO"
"sub_0167","cls_0068","BELONGS_TO"
"sub_0167","cls_0087","BELONGS_TO"
"sub_0167","cls_0090","BELONGS_TO"
"sub_0167","cls_0119","BELONGS_TO"
"sub_0168","cls_0062","BELONGS_TO"
"sub_0168","cls_0077","BELONGS_TO"
"sub_0169","cls_0024","BELONGS_TO"
"sub_0170","cls_0126","BELONGS_TO"
"sub_0171","cls_0034","BELONGS_TO"
"sub_0171","cls_0087","BELONGS_TO"
"sub_0171","cls_0099","BELONGS_TO"
"sub_0171","cls_0119","BELONGS_TO"
"sub_0171","cls_0132","BELONGS_TO"
"sub_0172","cls_0090","BELONGS_TO"
"sub_0172","cls_0095","BELONGS_TO"
"sub_0172","cls_0096","BELONGS_TO"
"sub_0173","cls_0062","BELONGS_TO"
"sub_0173","cls_0124","BELONGS_TO"
"sub_0173","cls_0125","BELONGS_TO"
"sub_0173","cls_0138","BELONGS_TO"
"sub_0174","cls_0062","BELONGS_TO"
"sub_0175","cls_0133","BELONGS_TO"
"sub_0176","cls_0034","BELONGS_TO"
"sub_0176","cls_0049","BELONGS_TO"
"sub_0176","cls_0051","BELONGS_TO"
"sub_0176","cls_0052","BELONGS_TO"
